ztf_id,label,redshift,total_span,n_detections,g_peak,g_duration,g_nobs,g_wmean,g_rise,g_time_to_peak,g_fall,g_stability,g_skew,g_kurt,g_asymmetry,r_peak,r_duration,r_nobs,r_wmean,r_rise,r_time_to_peak,r_fall,r_stability,r_skew,r_kurt,r_asymmetry,peak_color,duration_ratio,abs_mag_g
ZTF21acipofv,SN Ia,0.05814,28.994259300176054,13,18.606228,19.991342599969357,6,19.046172833333333,4.34977986913777,8.932974599767476,-19.834756436434628,0.22785759999999938,0.38612686513401073,-1.031141586995912,0.807802254329427,18.698524,28.994259300176054,7,18.879727142857146,0.49894429771309456,12.999849600251764,-9.97844534522694,0.13965666666666662,1.6620316864361222,1.3220716002531487,0.8127745783774252,-0.09229599999999749,0.689493130105516,-18.376263210699072
ZTF19acdgwhq,SN Ia,0.02859,55.896145899780095,24,18.238953,19.825555599760264,10,18.687926,24.293936304284454,3.9074189998209476,-18.979400500121645,0.18158222222222284,0.4771919462905279,-0.9056236492118921,0.2454696236138496,17.756826,55.896145899780095,14,18.522506,31.838882474852927,21.935983799863607,-16.379691918495265,0.293742615384615,0.9983638181869137,0.6489754756719304,0.6459328355184014,0.4821269999999984,0.35468555623328335,-17.202233850316976
ZTF18aaqkoyr,SN II,0.02389,37.998217599932104,12,19.069496,13.033992999698967,5,19.345778199999998,0.356334635750789,2.9798147999681532,-11.120410747056896,0.1758847499999998,0.39887950395266636,-1.0993563834070648,0.2963757694336404,17.9677,37.998217599932104,7,18.118048,0.0,0.0,-3.8046264034750568,0.07074600000000035,-0.5165671432770989,0.27008842346822615,0.0,1.1017960000000002,0.3430159050334576,-15.981700822276423
ZTF18aarmnnd,SN Ia,0.051,33.89817120041698,15,18.326862,31.88177080033347,11,19.077379727272728,31.85595919872277,8.004652700386941,-15.685362257948487,0.26164290000000034,0.36935327157138015,-1.3833715350536286,0.3352436699806275,18.10861,27.895104099996388,4,18.428429750000003,16.076469695551843,7.979479099623859,-15.53923051005025,0.3747893333333347,0.8375933530668451,-0.8848973364753134,0.4006642573092534,0.21825199999999967,1.142916358585577,-18.371104954016715
ZTF18aasdted,SN Ia,0.01815,160.80192130012438,66,15.8406,160.80192130012438,33,18.524605515151517,0.0,0.0,-28.076707065638,0.16612231249999948,-1.149621127097587,0.27123864886608784,0.0,15.7486,111.74721069959924,33,17.97104875757576,0.0,0.0,-43.750756773849595,0.12872174999999986,-0.3951747346332445,-1.2867734489984566,0.0,0.09200000000000053,1.4389792845245584,-18.61389922038768
ZTF18aaumeys,SN Ia-91T,0.03754,80.87539349962026,26,16.7206,36.94249999988824,10,17.9572544,0.0,0.0,-50.336345980018706,0.2866427777777775,0.14074036260733705,-1.617836714146044,0.0,16.6323,80.80987269990146,16,17.976319375000003,0.0,0.0,-25.92066141332434,0.20885919999999986,0.4700769453026023,-0.5477184743206345,0.0,0.08830000000000027,0.45715330027903,-19.311987414953666
ZTF18aaunfqq,SN Ia,0.07109,26.9751388002187,15,18.3554,14.995567100122571,5,18.9299292,0.0,0.0,-20.039433886209977,0.2933900000000005,0.03791743384801188,-1.298788064231654,0.0,18.359,26.88437500037253,10,18.9706834,0.0,0.0,-11.967454573734106,0.18121122222222238,0.023556271695257473,-0.9380620679612681,0.0,-0.003600000000002268,0.5577800153403151,-19.063758644668216
ZTF18aasxvsg,SN II,0.0248,39.03093749983236,19,18.925821,10.051134299952537,6,19.593128499999995,91.94742337930506,0.004756900016218424,-18.384699173914996,0.2596034000000003,-0.14452089478362726,-1.7710264248516734,0.000473494059286343,18.228,39.03093749983236,13,19.319814384615388,0.0,0.0,-10.753555727807845,0.1785493333333331,-0.5640538979129616,-1.171502114909599,0.0,0.6978209999999976,0.2575171119063104,-16.20655347765811
ZTF18aaqcqvr,SN Ia,0.07,25.04474540008232,10,19.15338,10.038032400421798,3,19.816942,0.0,0.0,-9.340927037464255,1.075436999999999,0.1409501628131418,-1.500000000000001,0.0,18.6107,25.04474540008232,7,19.261325142857146,0.0,0.0,-8.90438760626009,0.17523233333333307,-0.7194327654468693,-0.30517278159379213,0.0,0.5426799999999972,0.4008039307274732,-18.232226273598314
ZTF18aavrzxp,SN Ia,0.07,25.041550899855793,12,18.40066,15.967071800027043,5,19.026196,0.0,0.0,-21.039877525341108,0.3990075000000006,0.7721408250030326,-0.649897626267701,0.0,18.536259,25.041550899855793,7,18.936060142857144,10.894723316678151,3.0870948997326195,-9.686614612164194,0.1619741666666664,0.23335544075083486,-1.5693786014452416,0.14061359114137467,-0.1355990000000027,0.6376231194258417,-18.984946273598315
ZTF18aavqdyq,SN II,0.026,115.73804400023073,32,19.748337,109.74920139973983,12,20.356304166666664,0.9399737561734615,54.80515050003305,-1.5963097220157203,0.20342636363636368,0.46496247555374537,-0.7441059602381772,0.9974719665296017,18.751883,115.73804400023073,20,19.165757399999997,2.5339811283660545,70.88255790015683,-4.079261915180547,0.14010473684210467,0.17809863890406824,-1.2141459358595668,1.5802427765918257,0.996454,0.9482551942861678,-15.486645813381124
ZTF18aavrwhu,SN Ia,0.062,53.04510410036892,20,17.74695,33.98565969988704,8,18.581421749999997,14.989687716030828,4.010462999809533,-23.437459847128046,0.3435988571428581,0.6506833371881047,-1.208875761982127,0.13379271668963438,17.942173,53.04510410036892,12,18.49896825,6.606368879104093,7.070347200147808,-10.932775861206382,0.14612963636363638,0.500818729396653,-0.6111917306165977,0.15378759295003044,-0.19522300000000214,0.6406936186906395,-19.3751245210183
ZTF18aawjywv,SN Ia,0.04,26.995370300021023,14,17.701609,15.08517359988764,5,18.1070078,20.982142095359194,3.0914352000690997,-42.53143359038782,0.2805947499999988,0.5685878123795854,-1.1758205497176801,0.2577540960969994,17.7051,26.917708300054073,9,18.232090444444445,0.0,0.0,-20.84146997365807,0.15364824999999982,0.23497067235939614,-0.5402851026110191,0.0,-0.003491000000000355,0.5604181987460402,-18.46880703016684
ZTF18aaxcntm,SN Ia,0.02679,101.94767360016704,32,16.961105,101.94767360016704,14,18.91652807142857,64.06750217145819,14.982951400335878,-17.935878228386137,0.32434400000000024,-0.36488463876966604,-1.4434953647335231,0.17228769346157893,16.848843,95.78184020007029,18,18.408205111111112,129.6439619975717,8.920983700081706,-20.035584499134917,0.26290864705882366,0.0025387726457831053,-1.182525705072697,0.10270430271526138,0.1122620000000012,1.0643737203964496,-18.338874641568072
ZTF18aawyjjq,SN II,0.04,108.82571760006249,51,18.67445,34.90674770018086,14,19.11762628571429,20.66114941654841,3.0631597000174224,-8.073317192096027,0.1536652307692306,1.364382717765356,1.2805334692850137,0.0961939245037871,18.74385,105.83298610011116,37,19.277245999999995,4.111728011893229,11.999930600170046,-2.393482575621264,0.0951177222222219,0.3112522701357877,-1.271585410521355,0.12788596232142924,-0.06939999999999813,0.3298286194737181,-17.49596603016684
ZTF18aaxdrjn,SN Ia,0.0339,43.02238419977948,34,16.928713,31.00430559972301,13,17.83070930769231,88.25509190478932,6.996724599972367,-62.88226416983698,0.2586800000000003,0.6650206995387489,-1.019112452485241,0.2914381336480772,17.034039,43.02238419977948,21,17.742447238095238,111.45605445363148,10.000960600096732,-38.247491253113125,0.18416760000000015,0.43784068462898373,-0.3089311331056148,0.30286279360144897,-0.10532600000000159,0.7206552164973211,-18.882401564542445
ZTF18aaxiuyp,SN Ic,0.0303,44.85111110005528,15,18.902029,17.960706000216305,5,19.249636599999995,6.6750653289165,6.085046300198883,-12.03805121079503,0.24263525000000108,0.44262075674897317,-1.0120149169580268,0.5123964860823652,18.53066,44.85111110005528,10,19.1189029,20.252151843287166,11.855659699998796,-9.309705054240158,0.3072632222222222,0.831941587831198,-0.615120522947227,0.3593119414022777,0.37136899999999784,0.4004517515775472,-16.66530021603856
ZTF18aaxsioa,SN Ia,0.03,95.94071759982035,41,16.848797,95.94071759982035,18,18.862622499999997,139.18674416673585,11.999548600055277,-20.78385287034996,0.3726002941176469,-0.4079774377046063,-1.426538642259761,0.14295188812641937,16.853004,92.85092590004206,23,18.450779956521735,110.08242644980257,14.97741900011897,-22.17338194522642,0.27137640909090927,-0.07290353109570608,-1.4415321920648987,0.19233009525777198,-0.004206999999997407,1.0332769077941621,-18.69692534712534
ZTF18aayjvve,SN Ia,0.04727,76.90377310011536,24,17.695168,69.89902770007029,9,18.983108333333334,63.88917277987721,11.957129599992186,-13.303001892432455,0.6808065000000001,0.4212668619990604,-1.5191572752105702,0.20636413359016395,17.590485,73.90653929999098,15,18.77516486666667,49.55838208171238,15.012708299793303,-13.767328091636235,0.3288164285714283,-0.04941493646665979,-1.5671193929407174,0.25491138961129756,0.10468299999999786,0.9457759538211638,-18.837876085041596
ZTF18aayjyub,SN Ia,0.03,71.92434029979631,32,17.20425,27.000740699935704,9,17.837720999999995,110.60420373358106,8.995972199831158,-30.171446266771724,0.29778587499999976,0.7927870885161054,-0.7284443840082173,0.4996438693326672,17.262241,71.90369219984859,23,18.011315521739128,65.93727016686472,14.994965299963951,-18.58774635951841,0.17980172727272728,0.5129062210254601,-0.9437202354598795,0.26349149096839747,-0.057991000000001236,0.3755125762511617,-18.341472347125343
ZTF18aaxvpsw,SN Ia,0.0916,29.95613420009613,17,18.65021,29.95613420009613,8,19.143236624999997,13.718365288284291,11.961886500008404,-12.550702688885528,0.2629374285714278,0.3045766150434226,-1.4034020306936474,0.6647616893675464,18.672396,29.91173609998077,9,18.966547555555554,13.09361101850081,14.977083299774677,-10.283953419488574,0.2164122500000003,0.9354129509078734,-0.43524534694915307,1.002841077066619,-0.02218599999999782,1.0014843036849135,-19.31938344186628
ZTF18aamzgzi,SN Ia,0.0179,28.974884199909866,11,15.260246,28.974884199909866,7,15.823576,293.61267970941714,3.9561458001844585,-252.47279879407256,0.3226425,0.8570762107760838,-1.0803382965349453,0.15812730989776363,15.397803,13.000046300236136,4,15.601477500000001,7.945361599921452,5.9607524001039565,-412.5971172620979,0.1989783333333334,0.7558755550591661,-1.0662575264564922,0.8467827149527071,-0.13755699999999926,2.228829308045123,-19.164135228426495
ZTF18aatlfus,SN IIP,0.0451,26.914201399777085,13,19.132593,12.108240799978375,3,19.604377666666668,0.0,0.0,-8.500373711190369,0.4028374999999986,-0.6869500208916822,-1.5000000000000193,0.0,18.783539,26.914201399777085,10,19.1621606,12.193593741898114,2.975949099753052,-6.083944475366441,0.152695111111111,0.0017336060477339164,-1.1115121746114889,0.12431772639266837,0.34905399999999887,0.44988296773608377,-17.29840578291683
ZTF18aaykjei,SN Ia-pec,0.097,95.84944439958781,35,19.158302,86.93203700007871,8,19.851489125,3.698494085657868,17.916527800261974,-2.3837077524234336,0.27638071428571465,0.31713723593516124,-1.5941750396625576,0.25960147230659786,18.520172,95.84944439958781,27,19.310748444444442,12.705969204663875,21.06358789978549,-4.032601304714856,0.14352157692307715,0.05758469196858138,-1.048450446930238,0.28165202466914535,0.6381300000000003,0.9069644330713779,-18.93567274485826
