ztf_id,label,g_peak,g_duration,burst_ratio,g_rise,g_stability,r_peak,r_duration,r_rise,r_stability,peak_color,abs_mag_g
ZTF21acipofv,SN Ia,18.606228,19.991342599969357,1.0,4.34977986913777,0.22785759999999938,18.698524,28.994259300176054,0.49894429771309456,0.13965666666666662,-0.09229599999999749,-18.376263210699072
ZTF19acdgwhq,SN Ia,18.170256,19.825555599760264,1.0,32.651032980146695,0.17716340000000058,17.756826,55.896145899780095,31.838882474852927,0.293742615384615,0.4134299999999982,-17.270930850316976
ZTF18aajpjdi,SN Ia,18.82392,2806.1892129001208,0.9999776045420659,0.04850563369351838,0.5865307675350702,19.405611,14.02332179993391,0.7997167962498668,0.1836007499999992,-0.5816909999999993,-18.699890210890366
ZTF18aaqedfj,SN Ia,19.6711,2578.8799074003473,0.9134722177763059,0.12424956367259393,0.13408967096774196,18.1144,44.00887729972601,0.0,0.3548298333333335,1.5566999999999993,-17.46145630682288
ZTF18aapictz,SN Ia-91T,17.990393,2800.2024652999826,0.9890357340227478,0.24430828885539824,0.03527965642458089,18.2927,49.061967599671334,0.0,0.19484257142857078,-0.302306999999999,-19.940935620723653
ZTF18aapifti,SN IIP,19.51984,2367.7670022998936,0.9399274004534162,0.026757068253850894,0.10397102857142865,18.516441,29.973414400126785,0.0,0.16508950000000056,1.0033989999999982,-15.31254482928168
ZTF18aaqjovh,SN Ic-BL,18.3772,2800.2024652999826,0.9974964657185569,0.21558543059168372,0.059771864229765014,19.2171,13.008726900443435,0.0,0.2396402499999999,-0.8399000000000001,-18.444884872641875
ZTF18aaqkqxi,SN Ia,19.1881,2769.1856365003623,0.9989262960197188,0.20502245775118144,0.11022884883720932,19.327026,574.2173264003359,0.0,0.3124684999999996,-0.13892600000000144,-18.378939357379892
ZTF18aarbgdn,SN Ia,17.2177,2673.74393519992,0.9948603284082573,0.36673615557711053,0.22538610638297857,16.9403,2695.815497700125,0.5150050616712818,1.3307731999999994,0.2774000000000001,-19.159679455957964
ZTF18aaqqoqs,SN Ia-91T,18.780745,16.000995400361717,1.0,0.0,0.4398166666666666,18.532,30.983368000015616,0.0,0.2657210000000004,0.24874499999999955,-18.894821008486748
ZTF18aaqkoyr,SN II,19.069496,2796.175150499679,0.9999875616992818,0.356334635750789,0.07546307031249992,17.9677,37.998217599932104,0.0,0.07074600000000035,1.1017960000000002,-15.981700822276423
ZTF18aarmnnd,SN Ia,18.326862,31.88177080033347,0.9405159532600771,31.85595919872277,0.26164290000000034,18.10861,27.895104099996388,16.076469695551843,0.3747893333333347,0.21825199999999967,-18.371104954016715
ZTF18aaqqhis,SN Ia,18.8072,2796.1446990999393,0.9957213274009882,0.0,0.1250095964912282,17.8147,35.01920140022412,0.0,0.3149920000000009,0.9925000000000033,-18.243672325445246
ZTF18aasdted,SN Ia,15.8406,160.80192130012438,0.06970689753821539,0.0,0.16612231249999948,15.7486,111.74721069959924,0.0,0.12872174999999986,0.09200000000000053,-18.61389922038768
ZTF18aaumeys,SN Ia-91T,16.7206,36.94249999988824,0.9991898549498976,0.0,0.2866427777777775,16.6323,80.80987269990146,0.0,0.20885919999999986,0.08830000000000027,-19.311987414953666
ZTF18aauizcr,SN Ia,18.5079,2652.9227084000595,0.9484195608960524,0.15803764598700287,0.04381229973474794,17.640026,34.99017360014841,0.0,0.19336600000000015,0.8678740000000005,-17.299367845361957
ZTF18aaunfqq,SN Ia,18.3554,14.995567100122571,0.9966352795988046,0.0,0.2933900000000005,18.359,26.88437500037253,0.0,0.18121122222222238,-0.003600000000002268,-19.063758644668216
ZTF18aasxvsg,SN II,18.925821,10.051134299952537,1.0,91.94742337930506,0.2596034000000003,18.228,39.03093749983236,0.0,0.1785493333333331,0.6978209999999976,-16.20655347765811
ZTF18aaqcqvr,SN Ia,19.15338,10.038032400421798,1.0,0.0,99.0,18.6107,28.062152800150216,0.0,0.17517857142857146,0.5426799999999972,-18.232226273598314
ZTF18aavrzxp,SN Ia,18.289,18.942638900130987,1.0,0.0,0.3415379999999999,18.536259,25.041550899855793,10.894723316678151,0.1619741666666664,-0.24725899999999967,-19.09660627359831
ZTF18aavqdyq,SN II,19.598497,109.74920139973983,0.15010440292621471,1.2125839029477719,0.16950946666666672,18.751883,345.79680560017005,2.5339811283660545,0.12169344444444381,0.8466139999999989,-15.636485813381125
ZTF18aavrwhu,SN Ia,17.74695,33.98565969988704,1.0,14.989687716030828,0.3435988571428581,17.942173,53.04510410036892,6.606368879104093,0.14612963636363638,-0.19522300000000214,-19.3751245210183
ZTF18aawjywv,SN Ia,17.701609,15.08517359988764,0.9971231363339776,20.982142095359194,0.2805947499999988,17.7051,26.917708300054073,0.0,0.15364824999999982,-0.003491000000000355,-18.46880703016684
ZTF18aaxcntm,SN Ia,16.804218,101.94767360016704,0.04419273522746836,101.40867470336066,0.29502000000000006,16.830229,95.78184020007029,100.2176606382131,0.23719342105263164,-0.02601100000000045,-18.495761641568073
ZTF18aawyjjq,SN II,18.67445,49.06356480019167,0.14995932678336465,20.66114941654841,0.14880733333333337,18.74385,345.9314236002974,4.111728011893229,0.11233602325581366,-0.06939999999999813,-17.49596603016684
ZTF18aaxdrjn,SN Ia,16.928713,34.02497689984739,1.0,88.25509190478932,0.2450813076923081,17.034039,53.06781250005588,111.45605445363148,0.19815468181818216,-0.10532600000000159,-18.882401564542445
ZTF18aaxnqjb,SN II,19.7564,2538.068587999791,0.909907945333072,0.021093466133794644,0.13162400746268668,18.751549,65.00663199974224,2.3492296383295823,0.1376004545454544,1.0048509999999986,-17.065684872641874
ZTF18aaxqyki,SN Ia,18.779812,11.98072909982875,0.9986105793780091,13.119013067911803,99.0,18.853281,29.980081100016832,16.521702497245602,0.23300716666666746,-0.07346899999999934,-19.38030407352703
ZTF18aaxcfbt,SN Ia,18.3696,2771.1907986002043,0.9906985652642334,0.08247368217947547,0.050364589449541176,18.108574,26.003229199908674,0.0,0.14271699999999957,0.26102599999999754,-18.98161218306516
ZTF18aaxiuyp,SN Ic,18.902029,17.960706000216305,0.02093817813876188,6.6750653289165,0.24263525000000108,18.53066,44.85111110005528,20.252151843287166,0.3072632222222222,0.37136899999999784,-16.66530021603856
ZTF18aaxsioa,SN Ia,16.848797,95.94071759982035,0.1501481955063669,139.18674416673585,0.3342959473684209,16.853004,345.926481500268,110.08242644980257,0.24054197142857134,-0.004206999999997407,-18.69692534712534
ZTF18aayjvve,SN Ia,17.695168,69.89902770007029,0.9610261801300374,63.88917277987721,0.5446452,17.590485,73.90653929999098,49.55838208171238,0.3068953333333331,0.10468299999999786,-18.837876085041596
ZTF18aayjyub,SN Ia,17.116335,27.000740699935704,0.9997129191611399,73.8090424981303,0.2590352999999993,17.24558,71.90369219984859,83.98969402125547,0.17180666666666658,-0.12924500000000094,-18.429387347125342
ZTF18aaxvpsw,SN Ia,18.65021,29.95613420009613,1.0,13.718365288284291,0.2629374285714278,18.672396,29.91173609998077,13.09361101850081,0.2164122500000003,-0.02218599999999782,-19.31938344186628
ZTF18aamzgzi,SN Ia,15.260246,2604.997210700065,0.9299566750870529,4.938892802218086,0.45045225925925936,15.397803,2232.9824421000667,3.498849830617696,0.5842997333333338,-0.13755699999999926,-19.164135228426495
ZTF18aatlfus,SN IIP,19.132593,12.108240799978375,1.0,0.0,0.2685583333333324,18.783539,339.13708340004086,12.193593741898114,0.2034531666666668,0.34905399999999887,-17.29840578291683
ZTF18aaykjei,SN Ia-pec,19.047915,86.93203700007871,1.0,10.011954930931783,0.23949322222222236,18.520172,95.84944439958781,12.705969204663875,0.14059862962962988,0.527743000000001,-19.04605974485826
ZTF18aaxwjmp,SN Ia,18.689339,29.83287029992789,1.0,12.492655523799268,0.21264827272727224,18.714363,45.89146990003064,17.93333623384904,0.14701654545454543,-0.02502399999999838,-18.986227008486747
ZTF18aaydmkh,SN Ia,19.121855,21.846689800266176,1.0,8.082009543952658,0.3167212499999996,18.737803,35.89162029977888,28.080583111272432,0.20675055555555488,0.3840520000000005,-18.67254461827549
ZTF19aanbojt,SN Ia,17.453047,285.291492999997,0.9832484033830273,38.90920125347461,0.2263442380952378,17.481459,45.89729170035571,60.0415487119965,0.2453318333333329,-0.028411999999999438,-19.113275260404965
ZTF18aaytovs,SN Ia-91T,18.255867,42.03268520021811,0.9997286390417218,19.686891568877478,0.3333233333333337,18.169638,83.83123840019107,22.76523131069033,0.21569556249999988,0.08622899999999944,-19.30831703493099
ZTF18aazblzy,SN Ia,18.259296,23.964803300332278,0.9459299449053087,40.03993800043846,0.43128550000000015,18.432648,52.90777779975906,24.466731711367352,0.36514285714285727,-0.17335200000000128,-18.931719943446467
ZTF18aazixbw,SN Ia,18.291777,26.933877300005406,0.998581843771519,27.443837553100646,0.430938,18.334307,55.85041669989005,25.732313635388266,0.2646675384615392,-0.04252999999999929,-18.73727129843299
ZTF18aazjztm,SN Ia,18.63146,25.02777780033648,0.9076145108433483,24.49909470286598,0.4425875999999995,18.658287,29.876516200136393,9.085029817464244,0.17192799999999986,-0.026827000000000822,-18.815318555683373
ZTF18aazsabq,SN Ia,18.366161,32.95460639987141,1.0,41.756194737341815,0.45394487499999947,18.233671,63.96230320027098,34.85692724115414,0.2547913750000004,0.13249000000000066,-18.28880509520712
ZTF18aaxmhvk,SN Ia,18.74131,5.911157400347292,0.16171341475935716,5.825635298789082,99.0,18.560951,345.92546290019527,12.439377416270332,0.312833266666667,0.18035899999999927,-18.93425600848675
ZTF18aaxkjmm,SN Ia,18.309984,27.991041600238532,1.0,0.0,0.37424279999999965,18.234081,71.89046300016344,13.726202977917104,0.16606406250000028,0.07590300000000028,-18.951139370955225
ZTF18abauprj,SN Ia-91T,15.568087,105.86162040010095,0.9998746505709626,386.68133881206955,0.33109931818181787,15.686948,333.9317362001166,244.37999483251144,0.25421370588235287,-0.118860999999999,-19.827819230238127
ZTF18abaxlpi,SN Ia,18.309412,29.97644679993391,0.15370451290228068,31.653406602774076,0.3557657500000002,18.375103,330.92188649997115,31.73066687564991,0.33935116666666687,-0.06569100000000105,-18.90186666350245
ZTF18abcfcoo,other,19.233,2719.3975115995854,0.9812888139619856,0.09949784304572512,0.08120588135593224,15.812787,38.855682800058275,0.0,0.6834330000000003,3.4202130000000004,-14.679363120831429
