ztf_id,label,redshift,dq_total_points,dq_g_frac,dq_r_frac,dq_span,dq_max_gap,dq_mean_gap,dq_frac_imputed,dq_log_n,dq_sampling_density,g_peak,g_duration,g_nobs,g_wmean,g_rise,g_time_to_peak,g_fall,g_stability,g_skew,g_kurt,g_asymmetry,r_peak,r_duration,r_nobs,r_wmean,r_rise,r_time_to_peak,r_fall,r_stability,r_skew,r_kurt,r_asymmetry,peak_color,duration_ratio,abs_mag_g
ZTF21acipofv,SN Ia,0.05814,13,0.46153846153846156,0.5384615384615384,28.994259300176054,8.932974599767476,2.416188275014671,0.0,1.1139433523068367,0.448364618161536,18.606228,19.991342599969357,6,19.046172833333333,4.34977986913777,8.932974599767476,-19.834756436434628,0.22785759999999938,0.38612686513401073,-1.031141586995912,0.807802254329427,18.698524,28.994259300176054,7,18.879727142857146,0.49894429771309456,12.999849600251764,-9.97844534522694,0.13965666666666662,1.6620316864361222,1.3220716002531487,0.8127745783774252,-0.09229599999999749,0.689493130105516,-18.376263210699072
ZTF19acdgwhq,SN Ia,0.02859,24,0.4166666666666667,0.5833333333333334,55.896145899780095,10.956122700124979,2.4302672130339174,0.0,1.380211241711606,0.42936770708719685,18.238953,19.825555599760264,10,18.687926,24.293936304284454,3.9074189998209476,-18.979400500121645,0.18158222222222284,0.4771919462905279,-0.9056236492118921,0.2454696236138496,17.756826,55.896145899780095,14,18.522506,31.838882474852927,21.935983799863607,-16.379691918495265,0.293742615384615,0.9983638181869137,0.6489754756719304,0.6459328355184014,0.4821269999999984,0.35468555623328335,-17.202233850316976
ZTF18aaqkoyr,SN II,0.02389,12,0.4166666666666667,0.5833333333333334,37.998217599932104,11.941018499899656,3.4543834181756456,0.0,1.0791812460476249,0.3158042865679426,19.069496,13.033992999698967,5,19.345778199999998,0.356334635750789,2.9798147999681532,-11.120410747056896,0.1758847499999998,0.39887950395266636,-1.0993563834070648,0.2963757694336404,17.9677,37.998217599932104,7,18.118048,0.0,0.0,-3.8046264034750568,0.07074600000000035,-0.5165671432770989,0.27008842346822615,0.0,1.1017960000000002,0.3430159050334576,-15.981700822276423
ZTF18aaumeys,SN Ia-91T,0.03754,26,0.38461538461538464,0.6153846153846154,80.87539349962026,15.934895799960941,3.2350157399848105,0.0,1.414973347970818,0.32148220707108005,16.7206,36.94249999988824,10,17.9572544,0.0,0.0,-50.336345980018706,0.2866427777777775,0.14074036260733705,-1.617836714146044,0.0,16.6323,80.80987269990146,16,17.976319375000003,0.0,0.0,-25.92066141332434,0.20885919999999986,0.4700769453026023,-0.5477184743206345,0.0,0.08830000000000027,0.45715330027903,-19.311987414953666
ZTF18aaunfqq,SN Ia,0.07109,15,0.3333333333333333,0.6666666666666666,26.9751388002187,3.0629283003509045,1.92679562858705,0.0,1.1760912590556813,0.5560675743354614,18.3554,14.995567100122571,5,18.9299292,0.0,0.0,-20.039433886209977,0.2933900000000005,0.03791743384801188,-1.298788064231654,0.0,18.359,26.88437500037253,10,18.9706834,0.0,0.0,-11.967454573734106,0.18121122222222238,0.023556271695257473,-0.9380620679612681,0.0,-0.003600000000002268,0.5577800153403151,-19.063758644668216
ZTF18aasxvsg,SN II,0.0248,19,0.3157894736842105,0.6842105263157895,39.03093749983236,8.04847229970619,2.1683854166573533,0.0,1.2787536009528289,0.48679332901193073,18.925821,10.051134299952537,6,19.593128499999995,91.94742337930506,0.004756900016218424,-18.384699173914996,0.2596034000000003,-0.14452089478362726,-1.7710264248516734,0.000473494059286343,18.228,39.03093749983236,13,19.319814384615388,0.0,0.0,-10.753555727807845,0.1785493333333331,-0.5640538979129616,-1.171502114909599,0.0,0.6978209999999976,0.2575171119063104,-16.20655347765811
ZTF18aavrzxp,SN Ia,0.07,12,0.4166666666666667,0.5833333333333334,25.041550899855793,5.981805500108749,2.2765046272596177,0.0,1.0791812460476249,0.4792035464572246,18.40066,15.967071800027043,5,19.026196,0.0,0.0,-21.039877525341108,0.3990075000000006,0.7721408250030326,-0.649897626267701,0.0,18.536259,25.041550899855793,7,18.936060142857144,10.894723316678151,3.0870948997326195,-9.686614612164194,0.1619741666666664,0.23335544075083486,-1.5693786014452416,0.14061359114137467,-0.1355990000000027,0.6376231194258417,-18.984946273598315
ZTF18aavrwhu,SN Ia,0.062,20,0.4,0.6,53.04510410036892,14.039618000388145,2.791847584229943,0.0,1.3010299956639813,0.3770376237203181,17.74695,33.98565969988704,8,18.581421749999997,14.989687716030828,4.010462999809533,-23.437459847128046,0.3435988571428581,0.6506833371881047,-1.208875761982127,0.13379271668963438,17.942173,53.04510410036892,12,18.49896825,6.606368879104093,7.070347200147808,-10.932775861206382,0.14612963636363638,0.500818729396653,-0.6111917306165977,0.15378759295003044,-0.19522300000000214,0.6406936186906395,-19.3751245210183
ZTF18aawjywv,SN Ia,0.04,14,0.35714285714285715,0.6428571428571429,26.995370300021023,5.8745602001436055,2.0765669461554634,0.0,1.146128035678238,0.5186074443286706,17.701609,15.08517359988764,5,18.1070078,20.982142095359194,3.0914352000690997,-42.53143359038782,0.2805947499999988,0.5685878123795854,-1.1758205497176801,0.2577540960969994,17.7051,26.917708300054073,9,18.232090444444445,0.0,0.0,-20.84146997365807,0.15364824999999982,0.23497067235939614,-0.5402851026110191,0.0,-0.003491000000000355,0.5604181987460402,-18.46880703016684
ZTF18aaxcntm,SN Ia,0.02679,32,0.4375,0.5625,101.94767360016704,14.989930500276387,3.2886346322634528,0.0,1.505149978319906,0.313886515208794,16.961105,101.94767360016704,14,18.91652807142857,64.06750217145819,14.982951400335878,-17.935878228386137,0.32434400000000024,-0.36488463876966604,-1.4434953647335231,0.17228769346157893,16.848843,95.78184020007029,18,18.408205111111112,129.6439619975717,8.920983700081706,-20.035584499134917,0.26290864705882366,0.0025387726457831053,-1.182525705072697,0.10270430271526138,0.1122620000000012,1.0643737203964496,-18.338874641568072
