ztf_id,label,redshift,dq_total_points,dq_g_frac,dq_r_frac,dq_span,dq_max_gap,dq_mean_gap,dq_frac_imputed,dq_log_n,dq_sampling_density,g_peak,g_duration,g_nobs,g_wmean,g_rise,g_time_to_peak,g_fall,g_stability,g_skew,g_kurt,g_asymmetry,r_peak,r_duration,r_nobs,r_wmean,r_rise,r_time_to_peak,r_fall,r_stability,r_skew,r_kurt,r_asymmetry,peak_color,duration_ratio,abs_mag_g
ZTF19aaypehm,SN Ia,0.11,23,0.391304347826087,0.6086956521739131,45.89821759983897,5.98347229976207,2.086282618174499,0.0,1.3617278360175928,0.5011087837990618,18.879562,30.076597300358117,9,19.35056722222222,16.181499726804052,10.091400500386953,-9.073506308464836,0.2593065000000001,0.31145546911409183,-1.5227469923633419,0.5049437641965835,18.972673,45.89821759983897,14,19.493181571428572,10.53740591845091,15.959293900057673,-5.583879313358081,0.18535530769230738,0.27703662137164436,-1.4095471466125618,0.5330617112389466,-0.09311100000000039,0.6552890040868087,-19.48751749931815
ZTF19aayveer,SN Ia,0.08,28,0.2857142857142857,0.7142857142857143,48.91563649987802,10.121550899930298,1.811690240736223,0.0,1.4471580313422192,0.5724140991208369,18.971985,22.88040510006249,8,19.427260999999998,16.492356567137715,9.87636569980532,-10.470837889041048,0.28472471428571416,0.5700158133375139,-0.7727900764020119,0.7594844490866433,18.95006,48.86797450017184,20,19.505047199999996,12.242318629416703,12.91521990019828,-5.578629619321848,0.16924168421052674,0.4844194071104596,-1.0845894816291057,0.35922754859533845,0.021924999999999528,0.4682085831075735,-18.703581008486747
ZTF19aayvylv,SN Ia,0.071,33,0.36363636363636365,0.6363636363636364,83.97315969970077,10.014988500159234,2.624161240615649,0.0,1.5185139398778875,0.3929827115951383,18.407436,60.01850689994171,12,19.653892083333332,13.485144649127523,20.995347199961543,-9.867961692049779,0.33524799999999966,0.030800407038099883,-1.4201815121964245,0.5380227373021312,18.292393,78.9872221997939,21,19.238651285714287,7.891918076835916,16.038541600108147,-6.584716879304162,0.14385790000000007,0.4609577087704002,-1.0184306001944552,0.25478757373968236,0.115043,0.7598508369889011,-19.008971817122404
ZTF19aaywlmi,SN Ia,0.07,26,0.46153846153846156,0.5384615384615384,52.95766199985519,4.002997700124979,2.1183064799942075,0.0,1.414973347970818,0.4909582299926892,18.45118,47.00077539961785,12,19.381482916666666,28.04169928428306,10.003321699798107,-9.58546214459805,0.3176036363636363,0.30846663651453343,-1.4490473370582166,0.2703786531084123,18.525866,52.932048600167036,14,19.12542642857143,20.406516635570295,12.992361099924892,-7.256000964410513,0.20998615384615385,0.37836424599180707,-1.1311534624659605,0.3252995181759027,-0.07468599999999981,0.8879455196349519,-18.934426273598312
ZTF19aazlsfj,SN Ia,0.07,20,0.4,0.6,49.93337959982455,5.983414400368929,2.6280726105170813,0.0,1.3010299956639813,0.4005336742732766,18.380833,26.960104200057685,8,18.957589,30.09481267960257,10.994571699760854,-18.784380267917893,0.3861248571428578,0.6575934350307142,-0.9328379250860239,0.6886442215163474,18.471577,46.97583330003545,12,19.279108666666662,18.165525740732804,10.999965300317854,-9.156976210070491,0.2333040909090914,0.29727178982562963,-1.0590011415460538,0.3057595524979189,-0.09074400000000082,0.5739143365028363,-19.004773273598314
ZTF19aazwnwy,SN IIb,0.08528,25,0.44,0.56,56.94993049977347,6.982164300046861,2.3729137708238945,0.0,1.3979400086720377,0.438982098496142,17.756872,43.87673610029742,11,18.50039809090909,72.42283511724489,8.872141200117767,-19.24929775367637,0.3913176,0.9841468777448322,-0.2864849481536491,0.2534564740834133,17.963036,56.94993049977347,14,18.608376214285713,41.84006776603318,12.002256900072098,-11.295787315918687,0.25097469230769237,0.6312896546543243,-1.2718748957259927,0.2670273217466774,-0.20616399999999757,0.7704440675387997,-20.057480031939512
ZTF19aazxcvl,SN Ia,0.06,23,0.5217391304347826,0.4782608695652174,47.9197685001418,6.992534699849784,2.178171295460991,0.0,1.3617278360175928,0.4799689297316188,18.394678,38.93025470012799,12,18.9738315,25.258157467936307,9.958182900212705,-12.123128803045857,0.24328363636363678,0.7739164985750359,-0.4051016191553489,0.34371663058773116,18.400661,47.9197685001418,11,18.93464609090909,18.920581079022128,16.955567100085318,-8.043524109557502,0.23620780000000002,0.4815460741995634,-0.6007190245382357,0.5475861263470011,-0.005983000000000516,0.8124048992434676,-18.65619432544525
ZTF19abadskf,SN Ia,0.04106,37,0.5675675675675675,0.43243243243243246,82.89506940031424,7.959398199804127,2.3026408166753956,0.0,1.568201724066995,0.4463474156867011,17.224737,82.89506940031424,21,19.042587952380952,75.43988666368283,14.996539300307631,-18.117476619471166,0.3453441999999999,-0.26847560618753463,-1.2729636076826105,0.2208669212458573,17.293888,76.94003470009193,16,18.345677125,66.08504114491167,11.999305600300431,-17.068735492566667,0.25718966666666676,0.40326750754291624,-0.7612101804028364,0.184773188823637,-0.06915099999999796,1.077398388542905,-19.002473798699892
ZTF19abahvdh,SN Ia,0.07,23,0.43478260869565216,0.5652173913043478,49.97351850010455,6.9899304998107255,2.2715235681865704,0.0,1.3617278360175928,0.46024375890106445,18.138979,36.9588310001418,10,18.8198044,35.84903829538328,9.958240699954331,-16.28991600709257,0.3138738888888892,0.5188146670738052,-0.7381678023159703,0.36881566622212664,18.344133,49.97351850010455,13,18.96159976923077,21.520155161702863,12.982754700351506,-8.833664916392483,0.22752199999999986,-0.001209980021142629,-1.3549272025693255,0.3509728744892308,-0.20515400000000028,0.7395683175693238,-19.246627273598314
ZTF19abaejto,SN Ia,0.06,35,0.5142857142857142,0.4857142857142857,65.95074080023915,12.914166700094938,1.939727670595269,0.0,1.5440680443502757,0.530699118392209,18.118898,52.98510419996455,18,19.20286566666667,45.630821735859016,9.964652800001204,-12.124677533790528,0.292367882352941,0.36949967711678033,-1.0420578029660315,0.23162594709570372,18.1559,65.95074080023915,17,19.018375176470588,29.531098657350984,16.010682900436223,-9.308312822791363,0.2943156250000005,0.6943103310916138,-0.158029461403685,0.32059800436273433,-0.03700199999999754,0.8034042310525862,-18.931974325445246
